time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449650000	17.2614	18.8097	4.76429	2.43091	0.521648	radar	1.86289	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.0962	18.9499	4.74373	2.45556	0.521564	lidar	0.561498	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9285	19.1203	4.74722	2.46669	0.497817	radar	2.95345	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7141	19.2329	4.7419	2.50737	0.515	lidar	2.77414	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5256	19.3841	4.74934	2.53156	0.518155	radar	3.15344	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3127	19.5342	4.77257	2.55693	0.515974	lidar	0.70089	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.087	19.6192	4.76412	2.60943	0.559026	radar	10.1507	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8867	19.7586	4.77321	2.62967	0.550175	lidar	0.734769	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6945	19.8865	4.76258	2.63279	0.496803	radar	3.2044	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4755	20.0306	4.78897	2.65041	0.487223	lidar	1.34798	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2697	20.1682	4.7989	2.6614	0.466226	radar	5.69548	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0785	20.3025	4.79592	2.6721	0.453	lidar	1.77842	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8493	20.3838	4.79543	2.711	0.480023	radar	2.18663	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6353	20.5023	4.80299	2.72737	0.471453	lidar	0.654407	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.4033	20.5859	4.81011	2.76529	0.50173	radar	1.36925	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1588	20.6592	4.82051	2.79779	0.508991	lidar	0.835186	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9255	20.7282	4.82372	2.83448	0.533247	radar	0.397428	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6591	20.7878	4.84973	2.87005	0.541108	lidar	2.11525	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4146	20.8164	4.85102	2.92576	0.598881	radar	2.30596	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1664	20.8594	4.85831	2.95895	0.601836	lidar	0.230893	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9367	20.9171	4.85561	2.98019	0.589741	radar	1.73438	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7231	20.9687	4.83767	3.00106	0.581838	lidar	1.60178	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4769	21.0063	4.84704	3.02971	0.583353	radar	2.68193	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2298	21.0445	4.85736	3.05403	0.577304	lidar	0.264234	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9924	21.0637	4.85554	3.08558	0.586454	radar	0.894797	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7432	21.0378	4.85211	3.12873	0.601727	lidar	1.78994	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4976	21.0239	4.85192	3.16424	0.607936	radar	1.06265	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2712	21.022	4.83843	3.19123	0.60528	lidar	0.551507	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0201	20.9824	4.84349	3.23117	0.615731	radar	4.15092	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7979	20.9487	4.82435	3.26493	0.62054	lidar	0.483889	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5496	20.9494	4.82566	3.26634	0.560081	radar	5.72195	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2823	20.9735	4.85932	3.27153	0.532041	lidar	3.57094	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0433	20.9551	4.85827	3.29017	0.520685	radar	1.00732	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83315	20.9215	4.83007	3.31489	0.52126	lidar	1.56104	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.593	20.9161	4.82243	3.30897	0.459089	radar	2.27234	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.38613	20.8674	4.79293	3.33553	0.464956	lidar	1.24814	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.15807	20.8281	4.78756	3.35648	0.464667	radar	1.5341	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88608	20.7913	4.82507	3.37089	0.452776	lidar	1.8659	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.6645	20.7133	4.8156	3.40512	0.47053	radar	4.54129	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.4036	20.6262	4.84547	3.43505	0.476044	lidar	2.72716	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17503	20.5457	4.8464	3.46545	0.488813	radar	0.126923	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93665	20.4655	4.85593	3.48916	0.487492	lidar	0.147053	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71985	20.3786	4.85343	3.5243	0.514592	radar	3.53045	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.43564	20.3183	4.90654	3.53051	0.489753	lidar	3.93366	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.20802	20.22	4.90783	3.55446	0.486948	radar	0.230255	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
